h,MPU_rv_std,MPU_decay,MPU_atm,best
1,-1.1635,0.1096,-5.4784,MPU_decay
2,-1.0924,0.6378,-3.8281,MPU_decay
3,-0.8661,0.61,-2.5833,MPU_decay
6,-0.1388,-1.6828,-0.0327,MPU_atm
12,-0.2111,0.1021,-0.5476,MPU_decay
