Date,MPU_atm,MPU_atm_norm,ATM_1M,ATM_3M,ATM_6M,ATM_1Y
2019-03-01,-1.6898157503561029,-0.8991517191762707,1.05483777006,1.109707498853333,1.16240537452,1.222355295766667
2019-04-01,-1.6120066935658481,-0.8577494851364363,0.9803296756409092,1.159738189590909,1.2651728898,1.292157144104546
2019-05-01,-1.5620272103842245,-0.8311553797040375,0.9680395077869565,1.168606265365217,1.299467708617391,1.358156239782609
2019-06-01,-1.7302595006883192,-0.9206718568797362,0.87612228354,1.08692078307,1.210383870845,1.271396169405
2019-07-01,-1.9359383069044656,-1.030113641978732,0.7364727986913043,0.9437231376608696,1.115229255065217,1.214838143452174
2019-08-01,-1.9593249966263862,-1.0425577100760235,0.5745920047090909,0.9414210193545455,1.149742118277273,1.276622470077273
2019-09-01,-2.004053302397411,-1.0663576616514445,0.561262865147619,0.9422841064142857,1.141383936438095,1.208948620261905
2019-10-01,-2.0926702712784193,-1.1135107905655035,0.6576067704347826,0.9139564357782608,1.042075035178261,1.076703763069565
2019-11-01,-2.359956484516742,-1.255733904591223,0.4719051983095238,0.7443389686761905,0.9436239471761906,0.9677788281333333
2019-12-01,-2.4711187979208122,-1.314883421444654,0.4854464903045455,0.6781941746590909,0.8500221496363636,0.8914782993545455
2020-01-01,-2.479563378843737,-1.3193767867437824,0.4123449553681818,0.7481145694863636,0.8317180439363636,0.8911727699272728
2020-02-01,-2.5857157995239204,-1.3758605374303265,0.370415641225,0.70294468672,0.755683058355,0.835859350315
2020-03-01,-1.5061643261979072,-0.8014307139564926,1.106952537240909,1.301737107468182,1.331314608363636,1.196157344740909
2020-04-01,-2.0289604661456964,-1.0796107746605734,0.8391045075590909,0.9526737241318183,0.99575669765,1.054047681472727
2020-05-01,-2.2628783144053735,-1.2040785667049898,0.7245981901571429,0.8323330656380952,0.8497605718190476,0.9493503281904762
2020-06-01,-2.1024183085138466,-1.118697725553523,0.8470637804272727,0.9115252078,0.9135361298181818,1.021549457913636
2020-07-01,-2.179279442567963,-1.1595955694800177,0.7642939470695652,0.8816913486739131,0.8835741339434783,0.9995339979565216
2020-08-01,-2.210273076393338,-1.176087295948855,0.7435843020571429,0.8482606672999999,0.8827779902380952,0.9886068069809524
2020-09-01,-2.3538933398791806,-1.2525077026083569,0.6709617083,0.7642852049636364,0.8154368257272728,0.914226840409091
2020-10-01,-2.299661263316045,-1.2236507903290348,0.7110530064136363,0.7908408901454546,0.8558295440454546,0.9219693668545456
2020-11-01,-2.3151686214308573,-1.2319022625418352,0.7017638121476191,0.788713477552381,0.851302188452381,0.9062377869761905
2020-12-01,-2.4687361690575287,-1.3136156235571452,0.6239210870869565,0.7099086286913044,0.768316505473913,0.8273339165217392
2021-01-01,-2.3212906040086723,-1.2351597722191177,0.7035180986749999,0.7884582927,0.8440284569850001,0.90011447662
2021-02-01,-2.2341034639349417,-1.1887674558551373,0.7483408936857143,0.8331621599333333,0.8872680388095239,0.9481049875666666
