Date,MPU_decay,MPU_decay_norm
2019-03-01,1.1799799799799797,-0.7792547281459371
2019-04-01,1.2220220220220224,-0.7395507860078575
2019-05-01,1.2042709376042708,-0.7563146726883802
2019-06-01,1.1183183183183178,-0.8374871766151198
2019-07-01,0.9828495161828493,-0.9654221012822632
2019-08-01,0.9258591925258591,-1.0192430006249922
2019-09-01,0.8959626292959627,-1.0474769150342929
2019-10-01,0.9118451785118451,-1.032477648004352
2019-11-01,0.7539539539539539,-1.181588008478471
2019-12-01,0.7446112779446117,-1.190411106731377
2020-01-01,0.7259259259259259,-1.2080573032371904
2020-02-01,0.6567901234567906,-1.2733482303086976
2020-03-01,1.239773106439773,-0.7227868993273356
2020-04-01,0.952952952952953,-0.9936560156915635
2020-05-01,1.1291291291291297,-0.8272775914938986
2020-06-01,0.9009009009009008,-1.0428132773863281
2020-07-01,0.8398398398398398,-1.1004785266821095
2020-08-01,0.8738738738738738,-1.068337240189379
2020-09-01,0.7507507507507507,-1.1846130707366103
2020-10-01,0.7917917917917918,-1.1458544605541998
2020-11-01,0.7917917917917917,-1.1458544605542
2020-12-01,0.7177177177177176,-1.2158090252736724
2021-01-01,0.7867867867867868,-1.1505811203325425
2021-02-01,0.8408408408408408,-1.099533194726441
2021-03-01,1.0420420420420418,-0.9095214716370631
2021-04-01,1.1511511511511512,-0.8064802884691911
2021-05-01,1.1631631631631638,-0.7951363050011678
2021-06-01,1.1771771771771775,-0.7819016576218085
2021-07-01,1.277277277277277,-0.6873684620549543
2021-08-01,1.2632632632632632,-0.7006031094343137
2021-09-01,1.239239239239239,-0.7232910763703589
2021-10-01,1.339339339339339,-0.6287578808035044
2021-11-01,1.441441441441441,-0.5323340213253126
2021-12-01,1.5365365365365364,-0.4425274855368001
2022-01-01,1.7627627627627631,-0.2288824635557078
2022-02-01,2.0240240240240253,0.01784917687378412
2022-04-01,3.947747747747748,1.834588129277599
2022-05-01,3.326126126126126,1.2475369848074302
2022-12-01,2.574774774774775,0.5379708188826184
2023-01-01,2.5459459459459466,0.5107452585593646
2023-02-01,2.4774774774774775,0.4460845527916353
2023-03-01,2.448648648648649,0.4188589924683814
2023-04-01,2.1225225225225226,0.11086984131156817
2023-05-01,1.9711711711711712,-0.032064350385516326
2023-06-01,1.915315315315315,-0.08481387351182161
2023-07-01,2.275675675675675,0.2555056305288554
2023-08-01,2.5135135135135136,0.4801165031957031
2023-09-01,2.353153153153153,0.32867432389760154
2023-10-01,2.104504504504505,0.09385386610953489
2023-11-01,2.4018018018018017,0.37461745694309295
2023-12-01,2.6720720720720728,0.6298570849736017
2024-01-01,1.8144144144144148,-0.1801033346432107
2024-02-01,1.587387387387388,-0.39450462218883714
2024-03-01,1.798198198198199,-0.19541771232504082
2024-04-01,2.0036036036036036,-0.0014355950218554652
2024-05-01,2.513513513513515,0.48011650319570437
2024-06-01,3.1621621621621614,1.0926916104689215
2024-07-01,4.054054054054054,1.934982382969599
2024-08-01,3.0864864864864856,1.021224514620379
2024-09-01,3.2144144144144153,1.1420379385548214
2024-10-01,3.320720720720721,1.2424321922468204
2024-11-01,4.372372372372373,2.2355979448721977
2024-12-01,4.094761428094761,1.9734258825001187
2025-01-01,3.9346012679346014,1.822172769593152
2025-02-01,3.8918918918918926,1.7818386061512945
2025-03-01,3.7183850517183856,1.617981067168746
2025-04-01,3.6943610276943613,1.5952931002327007
2025-05-01,3.854521187854522,1.7465462131396685
2025-06-01,3.3793793793793796,1.2978286448489973
2025-07-01,3.149816483149818,1.0810325163490115
2025-08-01,2.65331998665332,0.6121478663374104
2025-10-01,3.088421755088421,1.0230521564013384
2025-11-01,2.5892559225892557,0.5516466211746229
2025-12-01,2.332999666333,0.3096416405234751
2026-01-01,2.2422422422422423,0.22393154320952655
2026-02-01,2.3837170503837166,0.35753845961068087
2026-03-01,2.4531197864531205,0.4230814752037012
