Date,Maturity,F,lambda_,Mean_rnd,Std_rnd,IQR_rnd,Q10_rnd,Q90_rnd,Mean_rwd,Std_rwd,IQR_rwd,Q10_rwd,Q90_rwd,VRP,Mean_shift,IQR_diff
2019-03-01,1M,6.5,-0.1,6.49999999999899,0.30361273743524236,0.7707707707707705,6.111111111111111,6.881881881881881,6.490780192901798,0.3036721163230491,0.784784784784784,6.097097097097097,6.881881881881881,-3.60598991980543e-05,0.0092198070971925,-0.014014014014013476
2019-04-01,1M,7.5,-0.1,7.499999999999296,0.3043767196640988,0.686686686686687,7.148148148148148,7.834834834834835,7.490801848036509,0.3022643700879598,0.7007007007007005,7.134134134134134,7.834834834834835,0.0012814380488062327,0.009198151962786838,-0.014014014014013476
2019-05-01,1M,7.5,-0.1,7.500000009344358,0.3223135260728753,0.6726726726726726,7.148148148148148,7.8208208208208205,7.489783086403321,0.31720647317601525,0.6586586586586591,7.148148148148148,7.806806806806807,0.0032660624647639636,0.010216922941037154,0.014014014014013476
2019-06-01,1M,7.25,-0.1,7.250000007818719,0.28375833961040253,0.616616616616616,6.923923923923924,7.54054054054054,7.2420131364829095,0.2816050982488934,0.616616616616616,6.923923923923924,7.54054054054054,0.00121736393868363,0.007986871335809553,0.0
2019-07-01,1M,7.25,-0.1,7.250000002054991,0.24819028229814485,0.5045045045045038,6.993993993993994,7.498498498498498,7.2439356153818055,0.2444523831348767,0.5045045045045047,6.97997997997998,7.484484484484485,0.0018414486069123007,0.006064386673185318,-8.881784197001252e-16
2019-08-01,1M,7.0,-0.1,7.000000000227915,0.1885612424287858,0.39239239239239243,6.797797797797798,7.19019019019019,6.9964619193280315,0.18768795273902697,0.39239239239239243,6.797797797797798,7.19019019019019,0.0003285745429201098,0.003538080899883056,0.0
2019-09-01,1M,7.0,-0.1,7.000000000094711,0.19944705655439177,0.3643643643643646,6.811811811811811,7.176176176176176,6.996105276829701,0.19531889303566444,0.3643643643643646,6.811811811811811,7.176176176176176,0.0016296583915334228,0.003894723265009503,0.0
2019-10-01,1M,6.5,-0.1,6.500012257515969,0.20791600193117354,0.4624624624624625,6.265265265265265,6.727727727727728,6.495676810545221,0.2085668096554143,0.47647647647647684,6.251251251251251,6.727727727727728,-0.0002710502307940524,0.004335446970748613,-0.014014014014014364
2019-11-01,1M,6.5,-0.1,6.500000000012867,0.15938449884825906,0.3223223223223224,6.335335335335335,6.657657657657658,6.497496700242972,0.1570842358272671,0.3223223223223224,6.335335335335335,6.657657657657658,0.0007279613276742272,0.002503299769895051,0.0
2019-12-01,1M,6.0,-0.1,6.000001841551644,0.14329131822533897,0.3503503503503511,5.816816816816816,6.167167167167167,5.997941132295536,0.14381452270468187,0.3503503503503511,5.816816816816816,6.167167167167167,-0.00015021506202009954,0.0020607092561073515,0.0
2020-01-01,1M,6.0,-0.1,5.999999999999752,0.12293691285624382,0.308308308308308,5.844844844844845,6.153153153153153,5.998490818135416,0.12276275497912957,0.308308308308308,5.844844844844845,6.153153153153153,4.279053255788409e-05,0.0015091818643364618,0.0
2020-02-01,1M,6.0,-0.1,5.999999901395343,0.1164727482872239,0.2662662662662667,5.872872872872873,6.1391391391391394,5.998653971768372,0.11556280768869717,0.2662662662662667,5.872872872872873,6.1391391391391394,0.00021113857268421042,0.0013459296269715537,0.0
