Date,MPU_pca,MPU_decay,MPU_pca_norm,MPU_decay_norm
2019-03-01,-1.514081366025991,1.1799799799799795,-0.8127140125608199,-0.7792547281459373
2019-04-01,-1.3294587459094596,1.2220220220220224,-0.7136140607542519,-0.7395507860078575
2019-05-01,-1.3543122117632505,1.2042709376042708,-0.7269546647754832,-0.7563146726883802
2019-06-01,-1.498013372445992,1.1183183183183178,-0.8040891897281621,-0.8374871766151198
2019-07-01,-1.7134861417886842,0.9828495161828493,-0.9197485874986551,-0.9654221012822632
2019-08-01,-1.7734743999251588,0.925859192525859,-0.9519485069155298,-1.0192430006249924
2019-09-01,-1.830575159977442,0.8959626292959627,-0.9825985029221295,-1.0474769150342929
2019-10-01,-1.8538426969610533,0.9118451785118451,-0.99508782731953,-1.032477648004352
2019-11-01,-2.092202860285872,0.7539539539539539,-1.123032499988489,-1.181588008478471
2019-12-01,-2.1161674345789376,0.7446112779446117,-1.1358959733592424,-1.190411106731377
2020-01-01,-2.172089124842164,0.7259259259259259,-1.165913079640854,-1.2080573032371904
2020-02-01,-2.2982596459436033,0.6567901234567906,-1.2336376767279833,-1.2733482303086976
2020-03-01,-1.4202614048377926,1.239773106439773,-0.7623542374348031,-0.7227868993273356
2020-04-01,-1.847220329718757,0.9529529529529531,-0.9915331368155024,-0.9936560156915634
2020-05-01,-1.45264459637268,1.1291291291291294,-0.7797365750834867,-0.8272775914938988
2020-06-01,-1.9491680666025486,0.9009009009009008,-1.0462556610955474,-1.0428132773863281
2020-07-01,-2.040622710200728,0.8398398398398398,-1.0953458038274935,-1.1004785266821095
2020-08-01,-1.930522036694206,0.8738738738738738,-1.0362470247532927,-1.068337240189379
2020-09-01,-2.159183080397707,0.7507507507507507,-1.1589854974104001,-1.1846130707366103
2020-10-01,-2.102607504854115,0.7917917917917918,-1.128617404885985,-1.1458544605541998
2020-11-01,-2.1068623118351186,0.7917917917917918,-1.1309012591964567,-1.1458544605541998
2020-12-01,-2.2266607402166665,0.7177177177177176,-1.1952055057271391,-1.2158090252736724
2021-01-01,-2.1072174129485592,0.7867867867867868,-1.1310918669519214,-1.1505811203325425
2021-02-01,-2.008636713965675,0.8408408408408408,-1.0781766688462109,-1.099533194726441
2021-03-01,-1.6704461230800256,1.0420420420420418,-0.8966459808024134,-0.9095214716370631
