Date,MPU_ext,MPU_ext_norm,C1_IQR,C2_delta_IQR,C3_tail
2019-03-01,-1.4430521365737228,-1.0063870328778914,1.401401401401401,0.0,1.2752752752752752
2019-04-01,-1.129165418361879,-0.787481897716922,1.4154154154154153,0.014014014014014364,1.8078078078078077
2019-05-01,-0.9167774347842516,-0.6393621540192993,1.3873873873873874,-0.02802802802802784,2.256256256256256
2019-06-01,-1.0604914710375848,-0.739588569172463,1.2752752752752752,-0.11211211211211225,2.1861861861861867
2019-07-01,-1.4178755969014665,-0.9888288709676407,1.1211211211211216,-0.15415415415415357,1.7237237237237233
2019-08-01,-1.1956769378325243,-0.8338671453706843,1.0930930930930929,-0.02802802802802873,2.0040040040040052
2019-09-01,-1.0997264260402917,-0.7669510940248382,1.0930930930930929,0.0,2.1441441441441453
2019-10-01,-1.3669533904696076,-0.9533156369411612,1.0930930930930929,0.0,1.6676676676676676
2019-11-01,-1.6183536051357343,-1.1286425774517286,0.8688688688688693,-0.2242242242242236,1.6536536536536532
2019-12-01,-1.8081288986351303,-1.260992192339417,0.8268268268268271,-0.042042042042042205,1.1491491491491486
2020-01-01,-1.667688751705299,-1.1630489932106394,0.924924924924925,0.09809809809809789,1.163163163163163
2020-02-01,-1.8993487438763217,-1.3246090687260401,0.8688688688688693,-0.05605605605605568,0.9669669669669663
2020-03-01,-0.24538363639323008,-0.17113096851296877,1.5275275275275266,0.6586586586586574,2.578578578578581
2020-04-01,-1.6688780539869499,-1.1638784146598653,1.135135135135135,-0.39239239239239154,1.5275275275275284
2020-05-01,-0.9619949218525469,-0.6708969069859544,1.3663663663663663,0.23123123123123124,1.9069069069069076
2020-06-01,-1.4050086382820148,-0.9798554319774612,1.0360360360360357,-0.33033033033033066,2.0120120120120126
2020-07-01,-1.190987232711444,-0.8305965369829081,1.006006006006006,-0.030030030030029575,2.0870870870870872
2020-08-01,-1.17974728182426,-0.822757775973272,0.9759759759759761,-0.03003003003003002,2.1321321321321323
2020-09-01,-1.4679293775862063,-1.0237364633899348,0.840840840840841,-0.1351351351351351,1.846846846846847
2020-10-01,-1.2932259834778554,-0.901898016964948,0.885885885885886,0.04504504504504503,1.9219219219219221
2020-11-01,-1.32953791413101,-0.9272220196270161,0.885885885885886,0.0,1.9069069069069071
2020-12-01,-1.5537043140818037,-1.08355605108692,0.795795795795796,-0.09009009009009006,1.681681681681682
2021-01-01,-1.2479595216566572,-0.8703291089216948,0.870870870870871,0.07507507507507505,1.9819819819819822
2021-02-01,-1.246052323239979,-0.8689990254777054,0.930930930930931,0.06006006006006004,1.9519519519519521
2021-03-01,-0.9318067098646782,-0.6498435962147342,1.2312312312312308,0.30030030030029975,1.9969969969969976
2021-04-01,-0.7083173377179555,-0.4939817251055522,1.3213213213213217,0.09009009009009095,2.552552552552552
2021-05-01,-0.6798889855846083,-0.47415574361259216,1.3213213213213217,0.0,2.7027027027027017
2021-06-01,-0.7094201459957684,-0.4947508254882844,1.4414414414414418,0.12012012012012008,2.4174174174174166
2021-07-01,-0.7485113023490431,-0.5220130649161306,1.396396396396396,-0.04504504504504592,2.5675675675675675
2021-08-01,-0.8653782319995899,-0.6035162619189884,1.441441441441441,0.04504504504504503,2.222222222222224
2021-09-01,-1.1458996784652498,-0.7991523993890408,1.441441441441441,0.0,1.771771771771772
2021-10-01,-0.8486116853417424,-0.591823243548451,1.606606606606606,0.1651651651651651,1.9819819819819813
2021-11-01,-0.5840881769100661,-0.4073440954775564,1.711711711711711,0.10510510510510507,2.4324324324324333
2021-12-01,-1.6190693628903479,-1.129141748136327,1.5165165165165169,-0.19519519519519424,1.0810810810810807
2022-01-01,-0.24530802303562618,-0.1710782356278039,2.042042042042043,0.5255255255255262,2.2972972972972965
2022-02-01,-0.10979527805470055,-0.07657141506184795,2.3423423423423433,0.3003003003003002,2.5375375375375366
2022-03-01,5.39376472338464,3.761620760908102,5.605605605605606,3.263263263263263,6.362362362362362
2022-04-01,1.6065901201210149,1.1204387028444152,4.891891891891891,-0.7137137137137151,4.594594594594595
2022-05-01,-0.4841503951914824,-0.3376473152524397,3.6486486486486487,-1.2432432432432425,2.486486486486487
2022-06-01,-0.26463741971389065,-0.18455858999431052,3.351351351351352,-0.2972972972972965,2.0810810810810816
2022-07-01,1.7673230803272364,1.2325341447261544,4.243243243243242,0.8918918918918899,3.648648648648651
2022-08-01,0.28222704255564984,0.1968256231059414,3.6216216216216215,-0.6216216216216206,3.1891891891891886
2022-09-01,0.7419504761067891,0.5174375334520727,3.6486486486486482,0.02702702702702675,3.2702702702702706
2022-10-01,-0.5249941828760714,-0.36613184277407446,3.0000000000000004,-0.6486486486486478,2.2972972972972965
2022-11-01,0.47430532626093547,0.33078134730964875,3.243243243243244,0.24324324324324342,2.8918918918918926
2022-12-01,0.2820621970800216,0.1967106595887571,3.135135135135135,-0.10810810810810878,3.027027027027028
2023-01-01,0.3821970242511493,0.2665448596501374,3.0540540540540544,-0.0810810810810807,3.243243243243243
2023-02-01,0.22499263962025068,0.15691025242123752,2.9189189189189193,-0.1351351351351351,3.135135135135135
2023-03-01,0.2963885184634419,0.20670186067130983,2.8378378378378377,-0.08108108108108159,3.27027027027027
2023-04-01,-0.4272102419081987,-0.29793715477935084,2.4324324324324325,-0.40540540540540526,2.6756756756756745
2023-05-01,-0.5635733899185004,-0.39303704787525445,2.243243243243243,-0.18918918918918948,2.3513513513513518
2023-06-01,-0.5344975757152319,-0.37275952522523254,2.1621621621621614,-0.08108108108108159,2.3513513513513518
2023-07-01,0.27050934261379905,0.18865367908690409,2.6756756756756754,0.513513513513514,2.7027027027027035
2023-08-01,0.1921972759310965,0.13403870958589448,2.756756756756757,0.08108108108108159,2.972972972972972
2023-09-01,0.2319803007805277,0.16178345928855434,2.7837837837837824,0.02702702702702542,3.0810810810810834
2023-10-01,-0.4676096583750588,-0.3261117770522617,2.378378378378379,-0.4054054054054035,2.648648648648649
2023-11-01,0.33176412888878953,0.23137287200201584,2.72972972972973,0.35135135135135087,2.9459459459459456
2023-12-01,0.48355756806337397,0.33723387659742143,3.0,0.2702702702702702,3.0810810810810842
2024-01-01,-1.197235755820448,-0.8349542677066715,2.0810810810810825,-0.9189189189189175,2.1621621621621596
2024-02-01,-1.8604324403309231,-1.2974687719460367,1.3513513513513526,-0.7297297297297298,1.378378378378379
2024-03-01,-0.9786257642961521,-0.682495285004935,1.6216216216216228,0.2702702702702702,1.621621621621621
2024-04-01,-0.7301948618274636,-0.5092391479091098,1.8648648648648667,0.24324324324324387,1.8918918918918912
2024-05-01,0.8268128993258095,0.5766207328262795,2.8648648648648667,1.0,3.0
2024-06-01,3.117108967277119,2.1738771352942203,4.594594594594595,1.729729729729728,4.837837837837839
2024-07-01,1.8851237055466354,1.3146885026187218,4.432432432432432,-0.16216216216216317,4.864864864864867
2024-08-01,1.5384786240798816,1.0729376287886556,4.216216216216214,-0.21621621621621756,4.486486486486491
2024-09-01,0.9165914065833303,0.6392324176331968,3.72972972972973,-0.4864864864864842,4.081081081081081
2024-10-01,1.7084184812027075,1.1914539763570833,4.0,0.2702702702702702,4.432432432432435
2024-11-01,4.076290402965215,2.8428119122078632,5.171171171171171,1.1711711711711708,6.684684684684687
2024-12-01,2.8067809235857513,1.9574538258420182,5.165165165165163,-0.006006006006007425,5.725725725725727
2025-01-01,2.762742212405056,1.92674115319934,5.245245245245247,0.0800800800800836,5.4854854854854835
2025-02-01,2.356707013113297,1.6435715094264998,5.165165165165167,-0.08008008008008005,5.005005005005003
2025-03-01,1.877304636317396,1.3092354703393998,4.884884884884887,-0.2802802802802802,4.604604604604603
2025-04-01,1.8979238691875,1.323615358676374,4.764764764764767,-0.12012012012012008,4.564564564564563
2025-05-01,2.32306018162561,1.6201061514893746,5.005005005005007,0.24024024024024015,4.724724724724723
2025-06-01,1.1191816072544927,0.7805191707422532,4.364364364364366,-0.6406406406406404,4.084084084084083
2025-07-01,1.2085812157403137,0.8428666108965017,4.164164164164163,-0.20020020020020368,3.923923923923928
2025-08-01,0.6520530839728745,0.4547429381286357,3.723723723723724,-0.4404404404404385,3.5635635635635623
2025-09-01,1.0131657193747585,0.7065835088648349,3.763763763763764,0.040040040040040026,3.6436436436436423
2025-10-01,1.4710252215061903,1.025895510244807,4.084084084084083,0.32032032032031843,3.883883883883888
2025-11-01,0.5262566566718705,0.36701229416265513,3.603603603603604,-0.48048048048047853,3.4834834834834822
2025-12-01,0.143271982740532,0.099918126275828,3.163163163163164,-0.4404404404404403,3.123123123123123
2026-01-01,0.17465741842897017,0.12180638290740226,3.0030030030030037,-0.1601601601601601,3.003003003003003
2026-02-01,0.5810962609034407,0.405257528127553,3.203203203203204,0.20020020020020013,3.163163163163163
2026-03-01,0.6984623605030897,0.4871088471082984,3.363363363363364,0.1601601601601601,3.283283283283282
