name,h,N_is,N_oos,beta_base,pval_base,R2_oos_base,R2_oos_ctrl,beta_ctrl,pval_ctrl,beats_bench
MPU_atm,1,43,29,3.4355,0.0,-5.4784,-11.1886,-0.9107,0.0532,False
MPU_atm,2,43,28,2.8694,0.0,-3.8281,-13.5187,-1.1122,0.1511,False
MPU_atm,3,43,27,2.3185,0.0002,-2.5833,-12.1693,-1.3105,0.259,False
MPU_atm,6,43,24,0.2866,0.7953,-0.0327,-3.4303,-3.3397,0.124,False
MPU_atm,12,43,18,-2.4327,0.0139,-0.5476,-4.9896,-2.7062,0.0909,False
