Date,Key_Rate,RV_std_3M,RV_abs_3M,HAR_RV_fitted,MPU_rv_std,MPU_rv_har,MPU_rv_std_norm,MPU_rv_har_norm
2019-09-01,7.0,0.14433756729740646,0.16666666666666666,0.7756495814189485,0.14433756729740646,0.7756495814189485,-0.5839986573308871,-0.028513758514214997
2019-10-01,6.5,0.25,0.25,0.765998767854749,0.25,0.765998767854749,-0.5270968496714283,-0.04719600711495694
2019-11-01,6.5,0.25,0.25,0.7784019314580416,0.25,0.7784019314580416,-0.5270968496714283,-0.023185701213704415
2019-12-01,6.25,0.25,0.25,0.7579550063227503,0.25,0.7579550063227503,-0.5270968496714283,-0.06276729047114407
2021-01-01,4.25,1.0897247358851685,0.75,0.7681784688903959,1.0897247358851685,0.7681784688903959,-0.07488451472814216,-0.04297649584242435
2021-02-01,4.25,1.0897247358851685,0.75,0.9521922937370233,1.0897247358851685,0.9521922937370233,-0.07488451472814216,0.31324135034111966
2021-03-01,4.5,1.2332207155790618,0.75,0.870404593195858,1.2332207155790618,0.870404593195858,0.0023915845211523027,0.15491499331136105
2021-04-01,5.0,0.2499999999999995,0.25,0.8806280557635036,0.2499999999999995,0.8806280557635036,-0.5270968496714286,0.17470578794008076
2021-05-01,5.0,0.24999999999999953,0.25,0.639281998535125,0.24999999999999953,0.639281998535125,-0.5270968496714286,-0.29249700381993754
2021-06-01,5.5,0.2886751345948124,0.3333333333333333,0.6188350733998338,0.2886751345948124,0.6188350733998338,-0.5062693425468108,-0.33207859307737697
2021-07-01,6.5,0.49999999999999967,0.5,0.6613359757026173,0.49999999999999967,0.6613359757026173,-0.39246572722789314,-0.24980444931794285
2021-08-01,6.5,0.4999999999999997,0.5,0.8451365119639642,0.4999999999999997,0.8451365119639642,-0.3924657272278931,0.10600050832025697
2021-09-01,6.75,0.5204164998665329,0.4166666666666667,0.8042426616933815,0.5204164998665329,0.8042426616933815,-0.3814709420542945,0.026837329805377667
2021-10-01,7.5,0.3818813079129864,0.3333333333333333,0.7725378709616899,0.3818813079129864,0.7725378709616899,-0.4560755356168409,-0.03453747329735874
2021-11-01,7.5,0.3818813079129864,0.3333333333333333,0.7311822666657986,0.3818813079129864,0.7311822666657986,-0.4560755356168409,-0.11459452500083751
2021-12-01,8.5,0.5204164998665328,0.5833333333333334,0.7005118789628615,0.5204164998665328,0.7005118789628615,-0.38147094205429455,-0.1739669088869971
2022-01-01,8.5,0.5773502691896256,0.3333333333333333,0.8274419368677659,0.5773502691896256,0.8274419368677659,-0.3508107129786573,0.07174697636332768
2022-02-01,20.0,6.370504951205464,4.166666666666667,0.7402604312265519,6.370504951205464,0.7402604312265519,2.7689449563366018,-0.09702082242807335
2022-03-01,20.0,6.639528095680696,3.8333333333333335,2.2250226590428923,6.639528095680696,2.2250226590428923,2.913820507952561,2.7772132375847867
2022-04-01,17.0,7.65397500213669,4.833333333333333,1.6069046438656867,7.65397500213669,1.6069046438656867,3.460125010654732,1.58064733696731
2022-05-01,11.0,3.0000000000000013,3.0,2.0538567490828763,3.0000000000000013,2.0538567490828763,0.9538454972074618,2.445866656224268
2022-06-01,9.5,2.291287847477922,3.5,0.7771341001449175,2.291287847477922,0.7771341001449175,0.5721866468737755,-0.025639995830217904
2022-07-01,8.0,2.5980762113533173,3.0,0.804932741459629,2.5980762113533173,0.804932741459629,0.7373996939984164,0.0281732007826393
2022-08-01,8.0,0.8660254037844386,1.0,0.43411756487253395,0.8660254037844386,0.43411756487253395,-0.195352083410504,-0.6896586449828691
2022-09-01,7.5,0.7637626158259734,0.6666666666666666,0.28071541234744246,0.7637626158259734,0.28071541234744246,-0.2504230991187177,-0.9866177697548963
2022-10-01,7.5,0.28867513459481287,0.16666666666666666,0.09370077202169391,0.28867513459481287,0.09370077202169391,-0.5062693425468106,-1.3486446578822058
2022-11-01,7.5,0.28867513459481287,0.16666666666666666,0.0601756406725209,0.28867513459481287,0.0601756406725209,-0.5062693425468106,-1.4135433147748413
2022-12-01,7.5,0.0,0.0,0.5371582678368059,0.0,0.5371582678368059,-0.6617279721149638,-0.49019027726775727
2023-01-01,7.5,0.0,0.0,0.5725474180292025,0.0,0.5725474180292025,-0.6617279721149638,-0.4216832133538987
2023-02-01,7.5,0.0,0.0,0.6917930748202737,0.0,0.6917930748202737,-0.6617279721149638,-0.19084495397712767
2023-03-01,7.5,0.0,0.0,0.6917930748202737,0.0,0.6917930748202737,-0.6617279721149638,-0.19084495397712767
2023-04-01,7.5,0.0,0.0,0.7315416270839642,0.0,0.7315416270839642,-0.6617279721149638,-0.11389886751820393
2023-05-01,7.5,0.0,0.0,0.7315416270839642,0.0,0.7315416270839642,-0.6617279721149638,-0.11389886751820393
2023-06-01,7.5,0.0,0.0,0.7315416270839642,0.0,0.7315416270839642,-0.6617279721149638,-0.11389886751820393
2023-07-01,8.5,0.5773502691896258,0.3333333333333333,0.7315416270839642,0.5773502691896258,0.7315416270839642,-0.3508107129786572,-0.11389886751820393
2023-08-01,12.0,1.8027756377319946,1.5,0.8606513860245155,1.8027756377319946,0.8606513860245155,0.3091108583719114,0.13603452900465346
2023-09-01,13.0,1.4433756729740643,1.8333333333333333,1.2716416920458624,1.4433756729740643,1.2716416920458624,0.11556517572580254,0.9316382383197749
2023-10-01,15.0,1.2583057392117916,2.1666666666666665,1.2576229750393741,1.2583057392117916,1.2576229750393741,0.015900484073940402,0.9045005100405542
2023-11-01,15.0,0.9999999999999997,1.0,1.3072356294525447,0.9999999999999997,1.3072356294525447,-0.12320348234082232,1.0005417336455644
2023-12-01,16.0,0.9999999999999997,1.0,0.6384523827206563,0.9999999999999997,0.6384523827206563,-0.12320348234082232,-0.29410299162458303
2024-01-01,16.0,0.5773502691896247,0.3333333333333333,0.5998491284638581,0.5773502691896247,0.5998491284638581,-0.3508107129786578,-0.36883198602755124
2024-02-01,16.0,0.5773502691896247,0.3333333333333333,0.3030263563259573,0.5773502691896247,0.3030263563259573,-0.3508107129786578,-0.943427773476234
2024-03-01,16.0,0.0,0.0,0.5812662221717902,0.0,0.5812662221717902,-0.6617279721149638,-0.4048051682637681
2024-04-01,16.0,0.0,0.0,0.49305031350182166,0.0,0.49305031350182166,-0.6617279721149638,-0.5755753862717461
2024-05-01,16.0,0.0,0.0,0.6520445225565834,0.0,0.6520445225565834,-0.6617279721149638,-0.26779104043605123
2024-06-01,16.0,0.0,0.0,0.6520445225565834,0.0,0.6520445225565834,-0.6617279721149638,-0.26779104043605123
2024-07-01,18.0,1.1547005383792517,0.6666666666666666,0.7315416270839642,1.1547005383792517,0.7315416270839642,-0.03989345384235061,-0.11389886751820393
2024-08-01,18.0,1.1547005383792517,0.6666666666666666,0.9897611449650668,1.1547005383792517,0.9897611449650668,-0.03989345384235061,0.3859679255275108
2024-09-01,19.0,1.0,1.0,0.9079734444239015,1.0,0.9079734444239015,-0.12320348234082214,0.22764156849775222
2024-10-01,21.0,1.0,1.0,1.0370832033644528,1.0,1.0370832033644528,-0.12320348234082214,0.4775749650206096
2024-11-01,21.0,1.0,1.0,0.9189828445802737,1.0,0.9189828445802737,-0.12320348234082214,0.2489537976997939
2024-12-01,21.0,1.1547005383792517,0.6666666666666666,0.8371951440391083,1.1547005383792517,0.8371951440391083,-0.03989345384235061,0.0906274406700353
2025-01-01,21.0,0.0,0.0,0.6694821308417589,0.0,0.6694821308417589,-0.6617279721149638,-0.23403495025579005
2025-02-01,21.0,0.0,0.0,0.49305031350182166,0.0,0.49305031350182166,-0.6617279721149638,-0.5755753862717461
2025-03-01,21.0,0.0,0.0,0.49305031350182166,0.0,0.49305031350182166,-0.6617279721149638,-0.5755753862717461
2025-04-01,21.0,0.0,0.0,0.5725474180292025,0.0,0.5725474180292025,-0.6617279721149638,-0.4216832133538987
2025-05-01,21.0,0.0,0.0,0.7315416270839642,0.0,0.7315416270839642,-0.6617279721149638,-0.11389886751820393
2025-06-01,20.0,0.5773502691896258,0.3333333333333333,0.7315416270839642,0.5773502691896258,0.7315416270839642,-0.3508107129786572,-0.11389886751820393
2025-07-01,18.0,1.0,1.0,0.8606513860245155,1.0,0.8606513860245155,-0.12320348234082214,0.13603452900465346
2025-08-01,18.0,1.0,1.0,1.0779770536350355,1.0,1.0779770536350355,-0.12320348234082214,0.5567381435354889
2025-09-01,17.0,1.0,1.0,0.9961893530938701,1.0,0.9961893530938701,-0.12320348234082214,0.3984117865057303
