Date,MPU_rwd,MPU_vrp,MPU_rwd_norm,MPU_vrp_norm
2019-03-01,-1.4754419395553617,-0.22040817773590704,-0.7965890816592671,-0.13378069158961167
2019-04-01,-1.2812804870850183,-0.2712267824497811,-0.6917615794916178,-0.16462595402078695
2019-05-01,-1.3217081579696475,-0.5454299899245068,-0.7135884236121767,-0.33105850252637026
2019-06-01,-1.452331172128108,-0.32881156513813986,-0.7841116099894128,-0.19957806937431408
2019-07-01,-1.662874980283473,-0.32575366135848577,-0.8977839235458989,-0.19772201989983956
2019-08-01,-1.7245530043481165,-0.31158385167396613,-0.9310838042331857,-0.18912140009180514
2019-09-01,-1.7858208863525153,-0.4085716565675483,-0.964162249784083,-0.24798988558860235
2019-10-01,-1.8116846856773015,-0.301150582406468,-0.9781260796034792,-0.18278874042153218
2019-11-01,-2.076540186854192,-0.3484645963031301,-1.1211212018097012,-0.2115068286794016
2019-12-01,-2.07985488012621,-0.2540414833618395,-1.1229108001657941,-0.1541950289036895
2020-01-01,-2.146555869486064,-0.23876563728129716,-1.1589225729339878,-0.1449230804929546
2020-02-01,-2.263133571017084,-0.241668139963586,-1.2218627142671867,-0.14668480648772492
2020-03-01,-1.4124085345108572,-0.5793249379847637,-0.7625574326379642,-0.35163164840269234
2020-04-01,-1.8346251842553927,-0.4228509327330813,-0.9905116233549565,-0.25665694803813166
2020-05-01,-1.5462980506494153,-0.28675505334232215,-0.8348441989588125,-0.17405111619278266
2020-06-01,-1.9240307111882853,-0.30617026185931456,-1.0387815448512903,-0.18583552478161433
2020-07-01,-2.0156192321687874,-0.3839165316850286,-1.0882300618430027,-0.23302501590049193
2020-08-01,-1.9488033054887544,-0.23425594688497248,-1.0521562345731204,-0.14218584312602608
2020-09-01,-2.1342941737716026,-0.40195358592306285,-1.15230250021753,-0.24397292906320056
2020-10-01,-2.061404076293913,-0.3252567441436706,-1.1129492364562292,-0.1974204070951622
2020-11-01,-2.0674123837258565,-0.2560574943782104,-1.1161931134067387,-0.15541868290234254
2020-12-01,-2.1834290442544155,-0.32216984775540053,-1.1788303494713923,-0.19554676003755136
2021-01-01,-2.065348608060669,-0.3931936027098139,-1.1150788837526882,-0.23865590033668016
2021-02-01,-1.9656404730236148,-0.3406062453470788,-1.0612465982565464,-0.20673706180208504
2021-03-01,-1.6244394259834272,-0.5671537881134525,-0.8770326204399527,-0.34424415096974403
2021-04-01,-1.4225645491734114,-0.5297170795939884,-0.7680406510394963,-0.3215212701400973
2021-05-01,-1.3885784014973732,-0.9246056908808139,-0.7496915764737088,-0.5612059862948304
2021-06-01,-1.4635733591486932,-0.7351299773346368,-0.7901812513588783,-0.44620030793014237
2021-07-01,-1.180740991833711,-0.4627854216766994,-0.6374804437548497,-0.28089590143829213
2021-08-01,-1.2105359910990232,-0.5241003432393379,-0.6535667230359891,-0.3181120913985444
2021-09-01,-1.2699812879651486,-0.28687424155655894,-0.685661157367861,-0.17412345961440032
2021-10-01,-1.2576703434537198,-0.25791997414568474,-0.6790144952933963,-0.15654914835931358
2021-11-01,-1.1467082201318604,-0.545852752697572,-0.6191061969414057,-0.33131510596431885
2021-12-01,-1.052233613814171,-0.5912672448531177,-0.5680994864303783,-0.35888024547579217
2022-01-01,-0.47831755874543974,-0.43477386473744667,-0.2582429946225855,-0.26389378519047685
2022-02-01,-0.05874850522009838,-0.5555865738989679,-0.031718237476857924,-0.3372232231018447
2022-04-01,2.4618996129701705,-2.01627903483628,1.3291762279878094,-1.2238166772615564
2022-05-01,1.2996183610582104,-3.5969612242742204,0.7016621725249774,-2.183240046478674
2022-12-01,0.5791357741722968,-1.4953075642453633,0.3126746110002578,-0.9076037111636309
2023-01-01,0.5950581383332638,-1.1762870024740588,0.3212710735954931,-0.7139684666664451
2023-02-01,0.5751974336301237,-0.5152664190941892,0.31054830633746866,-0.31275018289892337
2023-03-01,0.6066834972849,-0.41545932156312854,0.32754758896554825,-0.2521704772345727
2023-04-01,0.13734625623281252,-0.24858595820980822,0.07415305556164806,-0.15088370018929956
2023-05-01,-0.12778321522884828,-0.22166276529248197,-0.06898998282595403,-0.13454218598016654
2023-06-01,-0.22284410934160878,-0.12543259584187685,-0.12031322931426587,-0.07613356088680552
2023-07-01,0.2419894664077817,-0.40470564479039145,0.13064978136319128,-0.24564334048962091
2023-08-01,0.5048799265775827,0.15175546175516696,0.27258398062199324,0.09211069586734161
2023-09-01,0.23890403147364817,-0.05643406034403047,0.12898395926961465,-0.034253663814055146
2023-10-01,-0.01663319106878657,-0.40486360359546764,-0.008980237068861393,-0.24573921641583577
2023-11-01,0.5456762396867079,-0.10854347416198391,0.29460985417447977,-0.06588240595287001
2023-12-01,0.9212628069712319,0.05275987058956524,0.4973885272593039,0.03202354852780302
2024-01-01,-0.2175100099717821,0.10353813078755637,-0.11743335637275927,0.0628443231323826
2024-02-01,-0.5530074612169353,0.11483025872001486,-0.2985679706341247,0.0696982824538591
2024-03-01,-0.08173306814510244,0.29364322484952426,-0.044127571508860756,0.17823201527505492
2024-04-01,0.32900991604216673,0.39733140061195044,0.17763200289386116,0.24116741089265029
2024-05-01,1.0591767626034894,0.40525693117587136,0.5718480829489059,0.24597795363633368
2024-06-01,2.1629821430231564,0.5352610086836284,1.1677910955109858,0.3248862572079749
2024-07-01,3.4301588312947886,0.4313236602643827,1.8519380533469063,0.26179962178295973
2024-08-01,2.3343225199970044,0.2106615569036997,1.2602975302852895,0.12786480548688842
2024-09-01,2.4104846943069105,0.3771068509840342,1.3014173838452232,0.22889175821903227
2024-10-01,2.5794214035642087,0.47024041789017196,1.3926260817126328,0.2854208449294148
2024-11-01,4.776100066484031,12.913033846572624,2.578609882148143,7.837797200902664
2024-12-01,3.810667753559728,1.767944935033642,2.057374299141526,1.073085847043961
2025-01-01,3.404146823374197,0.6385151997021278,1.8378942059096959,0.38755823801139117
2025-02-01,3.484425611604241,1.149374102742275,1.881236613684929,0.6976332000906562
2025-03-01,3.316215999123266,1.01844987632406,1.7904204743708592,0.6181663956554307
2025-04-01,3.2778778540090574,1.3427450571022614,1.769721762350886,0.8150031646416939
2025-05-01,3.5262776648010954,0.9971274226687433,1.9038324798643085,0.6052243504659206
2025-06-01,2.814785539295704,1.0048990858928182,1.5196988561210794,0.6099415006714999
2025-07-01,2.019590877140076,0.4500314610390494,1.090374347521441,0.2731546565709809
2025-08-01,0.9847372171813104,0.21861085196765126,0.5316582743652779,0.13268977251955255
2025-10-01,1.655451601018957,0.08294313234289331,0.8937760512517771,0.05034381991368944
2025-11-01,0.8526765377717248,-0.11486801559798561,0.4603588944887081,-0.06972119966727229
2025-12-01,0.3393432924511441,0.0004699234456140307,0.18321097865928332,0.00028522845292858033
2026-01-01,0.2273511391783191,-0.026513471764588396,0.12274656854801297,-0.016092826616253223
2026-02-01,0.568170426898604,0.10302437565081994,0.3067544350308406,0.06253249024938191
2026-03-01,0.943670681791885,0.16044637402536183,0.5094865081738894,0.09738580074772599
