Date,ATM_IV_1M,RR_1M,BF_1M,ATM_IV_3M,RR_3M,BF_3M,ATM_IV_6M,RR_6M,BF_6M,ATM_IV_1Y,RR_1Y,BF_1Y,MPU_atm,MPU_rr,MPU_bf,MPU_atm_norm,MPU_rr_norm,MPU_bf_norm
2019-03-01,1.05483777006,0.5610481799520659,0.30868206316253644,1.109707498853333,0.49427925801402783,0.2822809319463202,1.16240537452,0.4310385524911642,0.23320565800108506,1.222355295766667,0.16142957590666596,0.08071478795333298,-1.689815750356103,-1.9628044296981693,-3.4058105044457405,-0.8938469429724534,-1.11320650459228,-2.022822682114888
2019-04-01,0.9803296756409092,1.0567505226388314,0.8375760894201096,1.159738189590909,0.8405798807227272,0.5171364262386366,1.2651728898,0.6064941425687427,0.33497040999744665,1.292157144104546,0.5272562933373866,0.27258400032676056,-1.6120066935658486,-0.9695514012615024,-1.6790963467805433,-0.8526889720322,-0.5498820514618644,-0.9972704503936208
2019-05-01,0.9680395077869565,1.356346741702235,1.1916548035656476,1.168606265365217,1.0655011162869568,0.7060527540956525,1.299467708617391,0.8896206664240338,0.48810083276914407,1.358156239782609,0.43334733452028873,0.24978706930942063,-1.5620272103842248,-0.45023863761320987,-0.5414092320952584,-0.8262517653463094,-0.25535329573658294,-0.32156071911784784
2019-06-01,0.87612228354,1.245329486510667,1.1326110570376322,1.08692078307,1.1577752744449998,0.7011033512024998,1.210383870845,0.7967002217617001,0.46216630086914967,1.271396169405,0.5706903129803464,0.30567783533482684,-1.7302595006883195,-0.3983759065018973,-0.573801613854501,-0.9152401171035234,-0.22593929567346324,-0.3407996181889469
2019-07-01,0.7364727986913043,1.2477975252669566,1.1499421086384793,0.9437231376608696,1.0130032219080978,0.7458541051367066,1.115229255065217,0.8848126309785616,0.5290616112324584,1.214838143452174,0.5722195844974205,0.32485877657737694,-1.935938306904466,-0.4316063414144381,-0.2708913976249483,-1.0240362223190083,-0.24478597022511958,-0.16089129527032336
2019-08-01,0.5745920047090909,1.0416997114,1.0883835817818182,0.9414210193545455,1.1774851340022645,0.7864956987629098,1.149742118277273,0.9589318407069782,0.5484666541465109,1.276622470077273,0.5318584586254342,0.3124820335418279,-1.9593249966263862,-0.3513397185185188,-0.22434349894517813,-1.036406873444599,-0.199262674395217,-0.13324496992975723
2019-09-01,0.561262865147619,1.188072962509524,1.08348348825,0.9422841064142857,1.2594000008581012,0.8290312926420067,1.141383936438095,1.043131718115825,0.5901463260801825,1.208948620261905,0.6184627748972722,0.3495519235132689,-2.0040533023974114,-0.061755009055931835,0.0273070722178715,-1.0600664111009044,-0.035024415439489275,0.016218566767691848
2019-10-01,0.6576067704347826,1.1046972386133436,1.0715408042335175,0.9139564357782608,1.1485599856663544,0.77516333613204,1.042075035178261,1.15869465962104,0.594650093963393,1.076703763069565,0.698474978269501,0.3814105017043805,-2.0926702712784198,-0.013523602984732421,-0.04892819784075136,-1.1069413480359414,-0.007669925021741843,-0.02906006316501851
2019-11-01,0.4719051983095238,1.1217676233440101,0.962717724277932,0.7443389686761905,1.2864203637821703,0.7736329212898674,0.9436239471761906,1.1859569354366037,0.5623282815578884,0.9677788281333333,0.7167135502863192,0.3816814752330311,-2.3599564845167422,0.15093246493630977,-0.2435546983530005,-1.2483253803195855,0.08560149915041888,-0.14465513202246572
2019-12-01,0.4854464903045455,0.7454016644707329,0.6864076102782701,0.6781941746590909,0.9511379073584938,0.5758885456434801,0.8500221496363636,0.8793505640434016,0.4178190236146626,0.8914782993545455,0.5344467850420277,0.2727742278244406,-2.4711187979208127,-0.7506209484315315,-1.5343258134594415,-1.3071259294262176,-0.42571542515099237,-0.9112864773799927
