Date,Maturity,F,Mean,Std,Skew,Kurt,Q01,Q10,Q25,Q50,Q75,Q90,Q99,IQR_9010,IQR_7525,Tail_right,Tail_left,Tail_total,flag_mean_ok,flag_std_ok,flag_iqr_ok,flag_mono_ok,quality_ok
2019-03-01,1M,6.5,6.49999999999899,0.30361273743524236,-0.011475457695207325,3.0939255823429113,5.788788788788789,6.111111111111111,6.293293293293294,6.503503503503504,6.6996996996997,6.881881881881881,7.2042042042042045,0.7707707707707705,0.4064064064064059,0.3223223223223233,0.3223223223223215,0.6446446446446448,True,True,True,True,True
2019-04-01,1M,7.5,7.499999999999296,0.3043767196640988,0.5042298150584127,6.404574750972216,6.76976976976977,7.148148148148148,7.316316316316316,7.498498498498498,7.666666666666667,7.834834834834835,8.367367367367368,0.686686686686687,0.3503503503503511,0.5325325325325334,0.37837837837837807,0.9109109109109115,True,True,True,True,True
2019-05-01,1M,7.5,7.500000009344358,0.3223135260728753,1.130724173473484,13.31897943319609,6.713713713713714,7.148148148148148,7.33033033033033,7.498498498498498,7.652652652652653,7.8208208208208205,8.493493493493492,0.6726726726726726,0.3223223223223224,0.6726726726726717,0.43443443443443375,1.1071071071071055,True,True,True,True,True
2019-06-01,1M,7.25,7.250000007818719,0.28375833961040253,0.6445393770328105,11.31806774961265,6.5175175175175175,6.923923923923924,7.106106106106106,7.26026026026026,7.4004004004004,7.54054054054054,8.045045045045045,0.616616616616616,0.29429429429429455,0.5045045045045047,0.4064064064064068,0.9109109109109115,True,True,True,True,True
2019-07-01,1M,7.25,7.250000002054991,0.24819028229814485,1.3408367444666016,14.586973778382415,6.657657657657658,6.993993993993994,7.12012012012012,7.246246246246246,7.358358358358358,7.498498498498498,8.045045045045045,0.5045045045045038,0.23823823823823798,0.5465465465465469,0.33633633633633675,0.8828828828828836,True,True,True,True,True
2019-08-01,1M,7.0,7.000000000227915,0.1885612424287858,0.5833432763160418,13.233138659994818,6.48948948948949,6.797797797797798,6.895895895895896,7.008008008008008,7.092092092092092,7.19019019019019,7.498498498498498,0.39239239239239243,0.19619619619619666,0.308308308308308,0.308308308308308,0.616616616616616,True,True,True,True,True
2019-09-01,1M,7.0,7.000000000094711,0.19944705655439177,2.1858899517781123,16.787586317934682,6.615615615615615,6.811811811811811,6.895895895895896,6.97997997997998,7.064064064064064,7.176176176176176,7.722722722722723,0.3643643643643646,0.16816816816816882,0.5465465465465469,0.19619619619619577,0.7427427427427427,True,True,True,True,True
2019-10-01,1M,6.5,6.500012257515969,0.20791600193117354,-0.23328608254702712,9.71721671625968,5.886886886886886,6.265265265265265,6.391391391391391,6.503503503503504,6.615615615615615,6.727727727727728,6.965965965965966,0.4624624624624625,0.2242242242242245,0.23823823823823798,0.37837837837837895,0.6166166166166169,True,True,True,True,True
2019-11-01,1M,6.5,6.500000000012867,0.15938449884825906,1.8950167876333333,15.610057760999794,6.181181181181181,6.335335335335335,6.405405405405405,6.48948948948949,6.573573573573574,6.657657657657658,7.106106106106106,0.3223223223223224,0.16816816816816882,0.4484484484484481,0.15415415415415445,0.6026026026026026,True,True,True,True,True
2019-12-01,1M,6.0,6.000001841551644,0.14329131822533897,-0.5021205139403677,4.16443700222033,5.606606606606606,5.816816816816816,5.914914914914915,6.013013013013013,6.097097097097097,6.167167167167167,6.307307307307307,0.3503503503503511,0.1821821821821823,0.1401401401401401,0.21021021021021014,0.3503503503503502,True,True,True,True,True
2020-01-01,1M,6.0,5.999999999999752,0.12293691285624382,0.23909039074235308,4.445125021676743,5.718718718718719,5.844844844844845,5.914914914914915,5.998998998998999,6.069069069069069,6.153153153153153,6.321321321321321,0.308308308308308,0.15415415415415445,0.16816816816816793,0.12612612612612573,0.29429429429429366,True,True,True,True,True
