Date,MPU_decay,MPU_pca,MPU_decay_norm,MPU_pca_norm
2019-03-01,1.1799799799799795,-1.514081366025991,-0.7792547281459373,-0.8127140125608199
2019-04-01,1.2220220220220224,-1.3294587459094596,-0.7395507860078575,-0.7136140607542519
2019-05-01,1.2042709376042708,-1.3543122117632505,-0.7563146726883802,-0.7269546647754832
2019-06-01,1.1183183183183178,-1.498013372445992,-0.8374871766151198,-0.8040891897281621
2019-07-01,0.9828495161828493,-1.7134861417886842,-0.9654221012822632,-0.9197485874986551
2019-08-01,0.925859192525859,-1.7734743999251588,-1.0192430006249924,-0.9519485069155298
2019-09-01,0.8959626292959627,-1.830575159977442,-1.0474769150342929,-0.9825985029221295
2019-10-01,0.9118451785118451,-1.8538426969610533,-1.032477648004352,-0.99508782731953
2019-11-01,0.7539539539539539,-2.092202860285872,-1.181588008478471,-1.123032499988489
2019-12-01,0.7446112779446117,-2.1161674345789376,-1.190411106731377,-1.1358959733592424
2020-01-01,0.7259259259259259,-2.172089124842164,-1.2080573032371904,-1.165913079640854
2020-02-01,0.6567901234567906,-2.2982596459436033,-1.2733482303086976,-1.2336376767279833
2020-03-01,1.239773106439773,-1.4202614048377926,-0.7227868993273356,-0.7623542374348031
2020-04-01,0.9529529529529531,-1.847220329718757,-0.9936560156915634,-0.9915331368155024
2020-05-01,1.1291291291291294,-1.45264459637268,-0.8272775914938988,-0.7797365750834867
2020-06-01,0.9009009009009008,-1.9491680666025486,-1.0428132773863281,-1.0462556610955474
2020-07-01,0.8398398398398398,-2.040622710200728,-1.1004785266821095,-1.0953458038274935
2020-08-01,0.8738738738738738,-1.930522036694206,-1.068337240189379,-1.0362470247532927
2020-09-01,0.7507507507507507,-2.159183080397707,-1.1846130707366103,-1.1589854974104001
2020-10-01,0.7917917917917918,-2.102607504854115,-1.1458544605541998,-1.128617404885985
2020-11-01,0.7917917917917918,-2.1068623118351186,-1.1458544605541998,-1.1309012591964567
2020-12-01,0.7177177177177176,-2.2266607402166665,-1.2158090252736724,-1.1952055057271391
2021-01-01,0.7867867867867868,-2.1072174129485592,-1.1505811203325425,-1.1310918669519214
